cuisine,id
mexican,13990
greek,23572
southern_us,872
vietnamese,38085
chinese,5248
greek,26309
mexican,26880
mexican,41559
greek,8059
thai,26041
indian,30019
indian,7207
southern_us,30309
greek,2092
chinese,8023
greek,4016
greek,24631
southern_us,35068
mexican,8523
greek,28463
french,8629
cajun_creole,43829
greek,22129
chinese,34505
chinese,38200
japanese,36513
italian,32187
greek,7788
greek,31130
southern_us,40483
greek,2224
italian,14143
indian,22889
chinese,17406
indian,10451
italian,19844
french,23416
french,33874
greek,39951
mexican,41361
indian,44659
greek,8836
indian,21709
thai,22993
filipino,39191
mexican,17182
korean,20507
greek,42397
italian,18897
mexican,3797
brazilian,11041
thai,807
italian,3514
thai,12936
british,15050
cajun_creole,43377
chinese,10471
mexican,30721
indian,14333
chinese,6260
greek,7712
italian,19048
mexican,21455
cajun_creole,18575
greek,47647
mexican,35947
italian,14499
greek,43525
italian,5723
greek,48497
greek,43822
greek,525
mexican,30594
southern_us,47948
indian,2099
mexican,43863
thai,24711
indian,15230
indian,21680
mexican,36218
chinese,41622
italian,34809
greek,5110
greek,27214
italian,34803
greek,36822
chinese,6912
italian,20373
greek,29157
mexican,6327
mexican,35502
greek,8305
italian,35598
indian,48538
indian,49358
mexican,44506
indian,39146
greek,29270
italian,20560
southern_us,24169
italian,41537
greek,10431
greek,31517
chinese,34049
mexican,26964
italian,49655
italian,9101
italian,30377
indian,7046
mexican,47969
french,18971
greek,38891
cajun_creole,29506
greek,40305
greek,21255
mexican,15578
southern_us,24894
chinese,32089
vietnamese,46097
italian,40982
italian,12543
italian,38366
greek,32925
thai,17506
southern_us,48389
korean,41804
thai,9961
indian,24939
greek,39599
mexican,45838
mexican,48875
chinese,25531
cajun_creole,3009
greek,31965
italian,16901
italian,13370
vietnamese,2954
italian,40353
jamaican,8207
korean,10933
southern_us,38206
mexican,14110
greek,19128
indian,32616
mexican,27748
french,31858
greek,20510
thai,17602
japanese,35665
indian,46589
mexican,8178
italian,34880
greek,42527
filipino,29682
thai,32166
filipino,30343
cajun_creole,15385
chinese,18372
chinese,29211
korean,23269
irish,4561
brazilian,27365
japanese,49032
greek,22064
greek,12060
greek,47834
greek,25815
chinese,34036
chinese,19326
thai,44078
greek,31090
greek,17485
greek,708
vietnamese,5350
greek,29754
greek,18309
greek,46871
southern_us,27300
mexican,41890
cajun_creole,49548
greek,11392
chinese,1354
southern_us,48819
greek,19097
greek,42113
vietnamese,24060
mexican,25849
french,4543
southern_us,25306
italian,41966
indian,48719
thai,48191
greek,8826
mexican,42703
greek,16083
italian,26613
italian,28088
southern_us,39965
greek,36239
indian,4322
french,9951
mexican,3045
greek,28585
italian,39841
italian,25913
vietnamese,39715
mexican,23135
indian,47022
mexican,24160
italian,18619
korean,12574
mexican,22681
cajun_creole,33692
mexican,538
chinese,22118
greek,21890
filipino,36340
italian,27973
mexican,12870
chinese,22564
greek,35063
southern_us,7000
moroccan,11318
italian,47001
japanese,11395
greek,23507
french,47242
greek,48957
italian,17721
greek,25138
greek,47438
greek,47162
italian,42459
mexican,6486
indian,24116
chinese,31596
chinese,38887
thai,10665
greek,13712
greek,2633
greek,35784
italian,45204
southern_us,46722
french,34949
filipino,35321
italian,46430
greek,34431
cajun_creole,30890
greek,42132
italian,15702
greek,47719
greek,45160
greek,20600
greek,10800
greek,30479
italian,9457
greek,26571
italian,42942
mexican,36635
chinese,43617
mexican,16911
mexican,122
greek,22340
greek,37007
italian,23595
greek,25233
chinese,5503
greek,47338
thai,44695
southern_us,7141
italian,14564
southern_us,19655
indian,35326
mexican,35922
greek,28171
italian,1322
italian,14923
greek,42344
mexican,16380
indian,15233
italian,8338
cajun_creole,41014
mexican,30440
chinese,23043
greek,20788
southern_us,14375
chinese,1184
italian,34280
cajun_creole,46171
greek,31834
greek,14759
thai,15855
italian,6662
greek,15056
filipino,34873
cajun_creole,20089
mexican,20015
italian,18402
french,6418
chinese,1454
japanese,14070
chinese,26424
indian,27349
korean,26459
italian,13151
italian,12264
greek,18366
indian,46851
italian,18954
chinese,39858
italian,43500
italian,21656
chinese,10505
moroccan,5313
japanese,28951
indian,19961
italian,1795
greek,9917
mexican,26180
italian,9726
italian,47689
greek,7866
mexican,41625
mexican,35160
italian,4430
french,39082
indian,46186
greek,11988
italian,24177
italian,31849
moroccan,41194
mexican,36968
chinese,42330
thai,36791
italian,19704
indian,4933
mexican,4255
italian,37105
mexican,35848
mexican,17416
italian,39066
cajun_creole,36270
filipino,24406
italian,20517
mexican,27630
italian,19670
italian,4685
greek,45260
greek,378
greek,40841
japanese,27632
mexican,12193
mexican,38047
italian,10170
greek,25043
greek,23851
indian,14743
italian,13294
chinese,26466
italian,32002
southern_us,37526
italian,8888
italian,38945
greek,38546
greek,38869
mexican,10556
greek,3296
mexican,25977
greek,32025
italian,44087
greek,32762
italian,824
greek,44636
chinese,542
greek,38218
greek,41930
greek,1987
italian,37378
italian,8873
greek,1513
mexican,44013
indian,38042
cajun_creole,11576
greek,24510
italian,823
greek,23443
indian,34870
southern_us,3846
french,14993
mexican,16854
mexican,5886
italian,33793
greek,2999
mexican,20843
italian,29153
greek,33790
indian,16516
french,37887
indian,18466
greek,48033
greek,45404
mexican,4175
italian,31986
indian,38555
greek,26832
greek,19810
italian,49086
cajun_creole,39579
italian,25551
indian,42549
mexican,22052
greek,45632
mexican,4143
greek,11310
japanese,32839
chinese,48171
greek,22896
greek,10878
mexican,31643
chinese,47624
greek,35141
chinese,13498
italian,24566
greek,16533
mexican,15437
greek,19426
italian,32416
italian,2427
greek,9178
italian,40606
japanese,28450
italian,7946
greek,21756
greek,17843
chinese,44066
chinese,7427
italian,11297
greek,42965
greek,23067
thai,35066
greek,27938
greek,39075
greek,20200
greek,19823
chinese,12336
greek,34714
italian,45388
greek,25639
italian,33985
thai,25524
chinese,19641
chinese,11106
greek,22165
greek,35412
japanese,23475
greek,1570
greek,12815
indian,37253
greek,16900
italian,7701
mexican,49391
italian,1132
mexican,13051
chinese,2284
greek,21410
greek,25604
mexican,45746
southern_us,35911
japanese,26608
greek,16991
mexican,40657
italian,47960
southern_us,38408
thai,1295
italian,40139
southern_us,38538
greek,26420
vietnamese,10326
mexican,5181
indian,18210
southern_us,3241
greek,27062
thai,41527
mexican,45484
greek,38755
italian,47246
greek,164
mexican,723
mexican,299
mexican,1519
japanese,34077
indian,45254
french,34760
greek,11154
greek,26274
italian,15081
mexican,45100
greek,1417
italian,32083
greek,29971
greek,17679
greek,36539
mexican,34975
french,4633
greek,10321
greek,35565
chinese,26919
italian,9549
southern_us,31863
greek,22053
greek,19443
italian,18540
greek,23354
southern_us,13859
thai,23904
italian,6675
southern_us,18595
chinese,12967
southern_us,17283
greek,23211
mexican,14358
indian,31398
greek,42650
greek,25258
vietnamese,18457
mexican,11810
cajun_creole,9499
indian,11943
thai,6810
greek,34323
korean,23296
italian,45927
greek,45196
japanese,19917
italian,20210
chinese,41629
italian,39907
mexican,4956
greek,37058
korean,20859
italian,3315
italian,4401
greek,21361
italian,44164
italian,26391
italian,47771
greek,44140
indian,43739
filipino,12481
chinese,12292
indian,15965
chinese,23409
chinese,39005
indian,2774
japanese,14529
greek,16926
greek,26890
greek,9663
thai,43052
southern_us,24193
greek,5476
greek,10048
greek,1981
chinese,12194
greek,22202
chinese,7626
mexican,37365
indian,44144
french,37723
filipino,47194
french,30827
indian,33108
cajun_creole,2075
italian,6326
mexican,11083
greek,30311
greek,45371
greek,18232
japanese,9768
greek,6648
greek,35650
italian,23013
mexican,6669
mexican,42670
cajun_creole,18155
vietnamese,44622
mexican,28426
mexican,23743
brazilian,14176
italian,9576
italian,36577
italian,16671
chinese,22964
french,16424
indian,47225
french,17565
filipino,36401
french,30314
cajun_creole,32982
greek,21866
italian,1475
greek,13053
italian,33983
greek,24051
greek,22800
chinese,16561
italian,2740
mexican,219
greek,48737
greek,2164
greek,13579
greek,71
mexican,12420
mexican,35209
indian,11472
chinese,43172
greek,24927
greek,37102
italian,10743
indian,27874
italian,9565
greek,21419
korean,767
italian,28308
italian,37605
greek,9558
greek,31527
chinese,2419
chinese,7541
greek,11400
greek,23487
italian,8087
greek,21906
mexican,48830
greek,37328
greek,45490
italian,9710
mexican,16153
chinese,39537
greek,13923
greek,8120
southern_us,12923
greek,1556
greek,6871
italian,34201
greek,36146
southern_us,33170
mexican,20082
italian,26517
greek,15214
italian,34092
cajun_creole,40902
greek,44452
italian,2083
mexican,44897
greek,17850
italian,26693
indian,19618
indian,35589
greek,46084
mexican,17256
mexican,47570
indian,32796
greek,27047
mexican,39487
thai,130
cajun_creole,17627
southern_us,29072
cajun_creole,1108
greek,22666
cajun_creole,41630
greek,27289
italian,42299
greek,36078
greek,7098
filipino,46999
chinese,28791
mexican,39576
greek,2447
indian,22449
indian,23828
cajun_creole,5660
greek,47460
southern_us,17912
southern_us,12288
greek,44037
mexican,20875
korean,6500
mexican,13813
indian,4907
italian,38186
mexican,9816
greek,8170
french,21681
italian,42384
italian,35366
chinese,34244
mexican,35421
mexican,33457
filipino,28026
mexican,38122
italian,21362
cajun_creole,42253
greek,21994
thai,34457
mexican,40229
mexican,10181
moroccan,38257
greek,40992
greek,15617
thai,34754
italian,45459
greek,31295
southern_us,44977
chinese,18322
mexican,23257
greek,10084
indian,16445
greek,10594
italian,26828
chinese,47643
chinese,49680
italian,27446
greek,8731
mexican,37341
japanese,42241
greek,13669
greek,21403
mexican,688
greek,23894
italian,35753
italian,44692
mexican,235
mexican,20982
mexican,10166
greek,2187
thai,5022
italian,49037
greek,44478
greek,8912
greek,8919
greek,23856
italian,14647
filipino,48870
mexican,14377
greek,18548
italian,39591
greek,46746
greek,31926
mexican,10159
korean,11342
cajun_creole,32421
greek,19969
greek,3029
southern_us,39565
greek,7426
italian,20624
southern_us,4385
cajun_creole,18761
chinese,46710
greek,46241
mexican,14208
greek,29323
italian,40663
mexican,32391
greek,9506
italian,35402
greek,48796
greek,4657
greek,2404
greek,36923
french,41762
chinese,19344
italian,19876
southern_us,39452
italian,19209
thai,35461
italian,5784
greek,40345
greek,24765
italian,25563
mexican,40680
cajun_creole,36932
mexican,28106
mexican,12717
greek,40100
greek,6960
korean,20724
italian,24433
greek,32118
italian,22353
mexican,23040
greek,46246
southern_us,36642
italian,21579
greek,24073
thai,16775
greek,24732
french,24221
greek,33300
thai,34971
italian,19777
italian,24337
japanese,24709
italian,28557
italian,8963
greek,31515
filipino,22575
italian,11011
italian,42030
chinese,48012
greek,13623
mexican,49552
chinese,5702
italian,3847
italian,34221
greek,4312
moroccan,35834
cajun_creole,11849
indian,38290
italian,3064
italian,30099
mexican,37354
italian,27877
greek,45642
greek,10629
mexican,17557
mexican,3725
italian,49507
indian,5560
indian,42239
filipino,29559
greek,46028
mexican,26523
indian,28313
thai,32502
filipino,43610
italian,35563
chinese,22160
filipino,11258
greek,36220
greek,15974
indian,30449
indian,29676
chinese,29951
italian,2268
mexican,36813
mexican,28096
italian,40471
greek,6545
moroccan,33598
mexican,22338
thai,41918
mexican,2133
thai,42259
mexican,11056
italian,7034
greek,17040
greek,35238
greek,46155
italian,23356
indian,3909
mexican,22107
italian,1656
southern_us,9302
italian,19473
greek,13566
italian,23424
greek,4139
greek,15970
southern_us,47732
greek,37251
french,44870
italian,9773
greek,2131
italian,6381
greek,9613
japanese,47364
greek,34376
indian,26408
italian,4763
mexican,18982
chinese,2766
chinese,19247
greek,13462
french,19678
greek,22814
greek,18582
thai,3124
greek,19347
greek,8812
southern_us,22037
greek,15423
italian,35960
mexican,49336
mexican,1255
italian,17646
italian,20631
mexican,19492
greek,22895
greek,18607
filipino,34569
greek,48356
southern_us,12252
greek,21071
southern_us,22458
greek,19585
indian,15597
greek,15038
mexican,20028
mexican,29764
greek,17206
mexican,40901
chinese,37954
thai,16933
greek,42657
chinese,21846
mexican,33834
greek,25873
greek,5938
greek,34762
italian,39835
italian,5805
chinese,13914
moroccan,45924
italian,41460
italian,37287
italian,25059
mexican,34872
mexican,7524
filipino,10427
italian,8014
greek,14740
filipino,24329
thai,38514
chinese,12665
italian,24655
chinese,7078
southern_us,15995
southern_us,15861
mexican,30662
italian,17836
greek,2078
greek,3600
indian,46302
southern_us,28375
mexican,34839
greek,18345
french,23205
italian,34763
greek,26692
moroccan,10317
mexican,11767
italian,36881
greek,33468
mexican,20669
greek,18159
russian,22891
italian,39588
japanese,35941
mexican,15981
chinese,26013
greek,5076
italian,1573
greek,39380
southern_us,13845
greek,35146
greek,32924
italian,9567
italian,35203
greek,39666
thai,17786
greek,21936
french,8668
greek,41339
italian,32268
mexican,29706
mexican,42032
southern_us,8105
greek,11218
greek,7159
greek,47817
indian,1572
greek,38720
mexican,14780
italian,31839
mexican,6501
southern_us,39533
southern_us,22820
italian,9619
greek,14025
italian,19697
southern_us,5370
chinese,32639
chinese,15249
greek,47776
brazilian,48134
chinese,24141
chinese,4117
greek,20578
italian,47585
brazilian,20326
italian,43932
chinese,29704
cajun_creole,12447
greek,38117
greek,2684
mexican,25371
italian,25518
italian,27083
indian,16073
cajun_creole,45667
greek,44188
mexican,44888
greek,41594
thai,1061
greek,6536
chinese,31586
italian,9792
mexican,40395
greek,24861
indian,32253
french,31082
filipino,19298
greek,6600
greek,46939
southern_us,6092
italian,36600
italian,45979
italian,46910
italian,14174
mexican,10609
greek,28647
indian,19066
greek,16803
southern_us,49114
italian,14664
greek,39670
greek,4583
southern_us,31121
jamaican,12589
italian,22551
italian,11817
indian,22003
chinese,42091
greek,45966
italian,6811
italian,2711
filipino,44757
greek,5349
vietnamese,30294
indian,48944
greek,44048
greek,411
japanese,44998
thai,18078
italian,48533
vietnamese,16485
southern_us,32939
italian,11808
chinese,23059
cajun_creole,16466
greek,7315
indian,13178
indian,2751
mexican,41395
italian,20534
french,12111
greek,38708
greek,37481
greek,28048
greek,13123
greek,2174
cajun_creole,17190
mexican,25756
southern_us,38180
greek,26892
japanese,23757
italian,8553
thai,36272
greek,35224
italian,5203
southern_us,23565
greek,31420
chinese,43491
greek,38773
indian,15223
french,17763
italian,24528
italian,21704
mexican,45329
southern_us,48876
mexican,3741
italian,47710
greek,9182
greek,13782
korean,3369
southern_us,11985
chinese,39817
greek,26869
indian,37461
greek,24217
greek,2474
italian,45929
french,12768
southern_us,924
greek,13258
indian,7955
chinese,37056
mexican,17934
greek,5843
italian,46881
mexican,4049
southern_us,24173
greek,4683
chinese,32612
italian,11314
mexican,13550
indian,2483
italian,9573
vietnamese,34113
filipino,37865
brazilian,36951
greek,4703
indian,10734
greek,40444
greek,44334
italian,35991
italian,34020
greek,3743
chinese,18305
greek,7877
greek,10606
italian,30584
indian,9266
mexican,35196
greek,41070
filipino,25930
greek,48564
thai,14213
mexican,6618
cajun_creole,18479
italian,10279
italian,30750
italian,45701
korean,22947
indian,6467
mexican,16365
greek,7184
mexican,23270
cajun_creole,41805
indian,7537
filipino,18616
indian,42857
greek,37906
italian,16846
mexican,573
indian,26657
british,12408
greek,38232
greek,33447
greek,40227
italian,35760
italian,1385
greek,47866
italian,30871
chinese,22604
greek,39397
indian,38782
italian,45343
greek,26112
italian,10209
moroccan,31702
chinese,37943
greek,23471
vietnamese,3529
mexican,46794
mexican,16626
greek,32361
cajun_creole,20932
indian,11183
greek,33661
mexican,12681
mexican,2450
greek,23979
italian,18465
italian,28234
mexican,47449
indian,33869
mexican,4924
thai,18862
indian,30556
greek,35762
greek,7396
greek,21232
greek,18299
greek,35468
greek,42838
cajun_creole,33972
greek,46021
italian,1627
italian,28873
mexican,38927
chinese,25262
greek,19152
greek,11061
cajun_creole,27000
chinese,37396
mexican,47358
greek,47825
greek,24681
italian,37706
cajun_creole,44056
italian,38298
italian,30788
greek,36144
italian,21792
mexican,31745
italian,15104
thai,30589
indian,14235
greek,2608
southern_us,34828
greek,3282
southern_us,4336
greek,25666
mexican,17831
cajun_creole,17008
mexican,35845
greek,19494
greek,30797
mexican,33763
southern_us,19950
greek,23089
chinese,32074
filipino,49640
chinese,8403
italian,15879
indian,7949
thai,31483
japanese,32928
southern_us,27647
greek,34616
greek,21113
cajun_creole,41599
greek,23924
italian,36335
greek,36194
mexican,10980
greek,45999
italian,3943
greek,188
greek,5799
greek,20964
greek,2716
italian,5464
italian,17640
filipino,39437
thai,14835
greek,3094
greek,14826
greek,30173
italian,37811
greek,22363
southern_us,6369
mexican,26850
italian,48887
greek,44405
greek,21477
indian,32697
mexican,38843
italian,20076
mexican,26429
vietnamese,35648
greek,41794
greek,22100
greek,30216
filipino,17656
greek,17317
italian,4928
italian,43965
greek,6404
chinese,12274
greek,6651
greek,40406
greek,40933
mexican,23419
mexican,37867
greek,28834
chinese,23912
mexican,4791
japanese,36354
greek,32298
thai,44577
greek,48859
greek,32485
italian,8394
greek,7708
greek,38385
vietnamese,22622
thai,29716
mexican,44462
greek,9422
mexican,22499
italian,36
italian,434
mexican,5479
greek,42420
mexican,47346
mexican,44568
greek,38650
greek,19191
british,22848
italian,17886
greek,6036
greek,38608
japanese,12890
southern_us,15709
southern_us,13125
italian,48454
greek,36627
italian,47884
greek,28
mexican,45365
chinese,40795
indian,17651
italian,1530
japanese,17604
mexican,4700
greek,24972
mexican,23525
italian,7092
mexican,43757
mexican,4808
greek,7249
greek,27589
greek,47523
greek,44244
korean,10383
mexican,37285
chinese,21332
italian,7311
greek,28052
greek,31653
greek,1740
greek,5484
italian,41406
southern_us,41907
mexican,46515
greek,38392
mexican,15925
greek,5094
greek,31816
french,35713
mexican,31296
greek,41640
indian,22419
mexican,47874
italian,6570
mexican,6936
greek,34063
greek,34141
greek,44572
italian,28425
mexican,38481
italian,18955
italian,46466
greek,5692
mexican,39836
greek,33718
greek,36250
greek,286
italian,29766
french,20541
greek,31173
greek,46440
greek,23905
greek,37232
greek,8517
cajun_creole,21249
southern_us,32700
mexican,22845
greek,45461
greek,1307
greek,30010
mexican,21646
italian,28148
italian,26450
mexican,16602
greek,9928
greek,27063
southern_us,22273
indian,12744
greek,28272
italian,30350
southern_us,23362
greek,13645
greek,16942
italian,34970
greek,27829
mexican,38058
chinese,13256
italian,31859
southern_us,43027
chinese,22235
greek,2933
italian,45981
italian,11460
cajun_creole,33770
french,24399
greek,8006
greek,48885
greek,42585
mexican,40160
thai,45541
thai,22410
korean,26226
indian,4591
mexican,5457
italian,39085
mexican,24040
chinese,6576
cajun_creole,34310
greek,27350
thai,9968
greek,2464
chinese,27952
mexican,43388
mexican,33143
thai,28083
mexican,15927
italian,10255
southern_us,8011
thai,5195
japanese,36015
greek,40910
greek,11309
cajun_creole,47556
french,27958
mexican,27198
greek,643
indian,40853
japanese,15815
greek,2063
irish,19827
greek,33443
korean,44632
thai,26773
chinese,3203
greek,32873
chinese,24806
greek,45942
greek,1324
japanese,32526
greek,48093
greek,48942
italian,8845
italian,11546
mexican,44358
greek,3209
italian,10553
italian,44430
italian,44712
indian,16351
italian,44644
greek,31670
southern_us,49147
greek,19750
vietnamese,48121
greek,22722
italian,9910
greek,14236
greek,48341
thai,23190
greek,20362
southern_us,44794
greek,39419
british,13526
greek,42270
mexican,37208
italian,33824
italian,29953
korean,16387
italian,37672
greek,1868
thai,24984
greek,47128
filipino,44303
chinese,20318
italian,7513
italian,13261
greek,19259
italian,31103
italian,24037
greek,29984
greek,28159
greek,5318
mexican,23962
greek,2084
greek,41793
greek,18960
greek,17025
southern_us,15510
japanese,36832
italian,20643
mexican,4154
chinese,10510
greek,45117
italian,43403
chinese,42471
greek,6942
italian,33309
southern_us,6689
italian,48687
italian,9880
greek,25590
mexican,21842
indian,27151
greek,565
greek,21740
italian,42399
greek,35928
irish,47060
indian,43147
italian,16625
greek,16769
southern_us,12515
greek,14731
greek,11658
mexican,49467
greek,19749
southern_us,39723
greek,5722
greek,31967
greek,39857
italian,16534
italian,27334
greek,32215
greek,34903
greek,24990
greek,31307
mexican,38874
greek,24130
chinese,27816
korean,939
greek,38293
italian,7889
southern_us,22114
japanese,24614
chinese,48827
italian,3387
italian,41676
mexican,3152
moroccan,38805
chinese,27078
italian,34940
chinese,16855
mexican,41891
indian,36715
mexican,49455
greek,26522
southern_us,28420
italian,329
mexican,18986
greek,31705
greek,7402
italian,10212
korean,10640
indian,38014
italian,5172
greek,26986
vietnamese,5088
italian,24522
mexican,1900
cajun_creole,4801
japanese,27932
italian,30941
mexican,42354
russian,48854
italian,39058
greek,34294
southern_us,46593
mexican,22582
thai,36937
greek,34596
french,42570
greek,10147
italian,44796
greek,46819
mexican,30905
italian,34980
italian,49265
french,37563
chinese,25673
greek,14267
greek,32410
thai,26392
italian,27384
filipino,43045
mexican,22576
greek,11597
italian,22656
greek,47811
greek,7925
chinese,14860
chinese,27525
italian,7798
italian,10848
greek,19062
chinese,32224
greek,11529
greek,12155
greek,30628
greek,21909
mexican,14291
greek,3323
greek,6502
greek,25833
greek,31108
italian,47484
greek,27396
filipino,48147
mexican,10489
greek,12014
mexican,4904
italian,36607
mexican,12756
greek,32462
vietnamese,42204
mexican,246
korean,47061
thai,15908
greek,29572
mexican,13458
southern_us,14022
vietnamese,40437
mexican,48136
italian,17687
greek,48504
italian,22857
indian,11465
thai,42107
mexican,12514
indian,46339
greek,8383
greek,27362
thai,38646
chinese,44084
filipino,12946
indian,11670
italian,34916
greek,2944
mexican,33063
jamaican,26982
mexican,2231
indian,5118
greek,28258
italian,44113
korean,47328
filipino,33937
italian,40399
vietnamese,23562
italian,12787
italian,13992
greek,38992
mexican,45269
moroccan,15211
italian,34602
filipino,41779
mexican,4179
greek,37925
italian,46161
southern_us,5512
mexican,27845
cajun_creole,12024
greek,41072
italian,17911
chinese,4237
greek,40442
mexican,15522
greek,6804
thai,43807
filipino,21647
greek,22758
mexican,32551
mexican,20470
greek,20842
indian,43018
italian,45493
greek,42442
italian,14655
greek,32247
italian,32302
greek,42075
mexican,19949
southern_us,23352
greek,48549
greek,15053
indian,23490
